test station
23:57 toward-Center-Park 1
23:58 toward-Center-Park 2
23:59 toward-Center-Park 3
清城站
6:17 开往广州白云 1
6:23 开往广州白云 2
7:02 开往广州白云 1
7:02 开往飞霞 1
7:46 开往飞霞 2
7:51 开往广州白云 1
7:52 开往飞霞 1
8:25 开往广州白云 2
8:36 开往飞霞 1
8:40 开往广州白云 1
9:20 开往飞霞 1
9:28 开往广州白云 1
9:45 请勿上车 3
10:04 开往广州白云 3
10:14 开往飞霞 1
10:16 开往广州白云 1
10:58 开往飞霞 1
11:01 开往广州白云 1
11:21 请勿上车 3
11:33 开往广州白云 3
11:50 开往飞霞 1
11:54 开往广州白云 1
12:29 开往飞霞 1
12:36 开往广州白云 1
12:49 请勿上车 3
12:58 开往广州白云 3
13:16 开往广州白云 1
13:20 开往飞霞 1
13:40 开往广州白云 1
14:06 开往飞霞 1
14:07 开往广州白云 1
14:14 请勿上车 3
14:23 开往广州白云 3
14:50 开往飞霞 1
14:52 开往广州白云 1
15:29 开往飞霞 1
15:36 开往广州白云 1
15:41 请勿上车 3
15:52 开往广州白云 3
15:57 开往飞霞 1
16:18 开往广州白云 1
16:22 开往飞霞 1
16:43 开往广州白云 1
17:08 开往广州白云 1
17:08 开往飞霞 2
17:13 开往飞霞 1
17:46 开往广州白云 2
17:53 开往飞霞 1
17:59 开往广州白云 1
18:30 开往飞霞 1
18:39 开往广州白云 1
18:55 开往飞霞 1
19:09 请勿上车 3
19:16 开往广州白云 1
19:22 开往飞霞 1
19:24 开往广州白云 3
19:44 开往广州白云 1
20:08 开往飞霞 1
20:11 开往广州白云 1
20:44 请勿上车 3
20:55 开往广州白云 1
20:57 开往飞霞 1
21:32 开往飞霞 1
21:47 开往竹料 1
22:05 请勿上车 1
22:27 开往飞霞 1
22:58 请勿上车 3
23:11 开往飞霞 1
23:27 开往飞霞 1
23:37 开往飞霞 1
